l_measure,l_precision,l_recall,track_id
0.5760004435586124,0.4917343907473255,0.6951195978028217,SALAMI_1139
0.13625057695432863,0.08238379039980195,0.39361915559432936,SALAMI_374
0.4520345742728369,0.3814932413977331,0.5545813684904238,SALAMI_1626
0.4823418302907298,0.4490877363059749,0.5209145644921543,SALAMI_131
0.4072613315883518,0.36703512983732317,0.45739024509691956,SALAMI_960
0.6258874073883505,0.5331304866816398,0.757719545155119,SALAMI_831
0.4876107516789115,0.4540885287230962,0.5264769093079966,SALAMI_572
0.4594448740720115,0.4351367555053208,0.48662954298171324,SALAMI_979
0.4671112897478726,0.3423552531224934,0.7349199432440426,SALAMI_1412
0.40071122994020614,0.30598725791825354,0.5803778443862656,SALAMI_703
0.6067170436684346,0.46880270364748267,0.8595968359340767,SALAMI_1380
0.6067890947885735,0.5640298527120612,0.6565633219636262,SALAMI_1207
0.18593606169558857,0.11564864771062852,0.4740447366528928,SALAMI_948
0.7808790036014834,0.7095225448733955,0.868192888813855,SALAMI_388
0.5519672071072522,0.47838051122004327,0.6523082732762511,SALAMI_938
0.4276849162055038,0.37552969217575627,0.4966637776064303,SALAMI_486
0.36188242545516847,0.33300668492784924,0.3962413856702744,SALAMI_12
0.4878470501041286,0.41474700952830595,0.5922285971342357,SALAMI_807
0.3271316459432747,0.28561137585473056,0.3827772388109045,SALAMI_1135
0.29674587830681426,0.22951553834050467,0.419679617686835,SALAMI_483
0.5521575619374982,0.5340765514198598,0.5715057265889392,SALAMI_1082
0.3908895767642535,0.34567693415744327,0.44970904792923666,SALAMI_634
0.5551047035791343,0.4555959143303596,0.7102290904740658,SALAMI_11
0.41529808601275336,0.3178403850679718,0.5989513382208389,SALAMI_696
0.45037907698471635,0.4140026200904471,0.493763769775465,SALAMI_451
0.6171813885089935,0.5219746120566539,0.754867140770794,SALAMI_1096
0.4471358998614899,0.37986158648261675,0.5433674589763197,SALAMI_639
0.5935375838218295,0.5779332249205325,0.6100079698166464,SALAMI_1015
0.4684059052398043,0.3366665351068295,0.7695250805854966,SALAMI_1331
0.5658070069588083,0.5018017185088506,0.6485272810426652,SALAMI_1108
0.42155852689030016,0.38451540324229627,0.46649979430507277,SALAMI_791
0.39365109872857323,0.31296906490460974,0.5303809502174942,SALAMI_843
0.5241213313767594,0.40190088219287473,0.7531625405115584,SALAMI_494
0.47574108378897273,0.3627060367980819,0.691126202432961,SALAMI_983
0.49179330275797584,0.4236150950274364,0.5861267474685528,SALAMI_695
0.4244586905782747,0.4129732616567316,0.43660125063434374,SALAMI_1076
