,l_measure,l_precision,l_recall,track_id
129,0.3549676619050659,0.2925054341350347,0.4513498646193238,SALAMI_1483
130,0.5721527401883969,0.5264679161260053,0.6265196630353086,SALAMI_1484
131,0.4301250221611232,0.3510435210474005,0.5551973849394625,SALAMI_1491
132,0.4178288948096605,0.3510338114578964,0.5160171890000489,SALAMI_1496
133,0.3755824839838522,0.31974463110624546,0.4550488759608226,SALAMI_152
134,0.3665751054889261,0.2984491349943885,0.4750022577243529,SALAMI_154
135,0.44940070647241515,0.41051253056528075,0.49642769355501926,SALAMI_155
136,0.34833913635582614,0.2869511412454621,0.44314115328882425,SALAMI_158
137,0.37825735769902236,0.31566067846238977,0.47182125679657516,SALAMI_159
138,0.6025861451553619,0.5928537569734201,0.612643403543725,SALAMI_16
139,0.45744259211899263,0.3676552543461073,0.6052558158866566,SALAMI_162
140,0.4693983792287078,0.4053961806148267,0.5573979629365029,SALAMI_170
141,0.45066915443888095,0.3420939622045446,0.6602090131985427,SALAMI_183
142,0.29055662191398557,0.20096132716975548,0.5243128724806047,SALAMI_198
143,0.4926219785827289,0.3686130939939857,0.7423703465134515,SALAMI_2
144,0.34826529771821674,0.2691883125847514,0.49312657526214443,SALAMI_216
145,0.38582489071253545,0.34331148071569806,0.44035559872754027,SALAMI_218
146,0.47427625225732856,0.39533417781212143,0.5926115419654694,SALAMI_22
147,0.4644083652241897,0.43480523696448226,0.4983369655578798,SALAMI_227
148,0.3395418702923403,0.29171085333874663,0.4061346366117314,SALAMI_23
149,0.40637116863086264,0.3378414181776307,0.5097774377055474,SALAMI_236
150,0.40038483358427285,0.3675040637337768,0.4397274669435203,SALAMI_24
151,0.4288219833353306,0.369168885401963,0.5114690107360861,SALAMI_250
152,0.5131930294860274,0.38995315809048137,0.7503234842102002,SALAMI_254
153,0.4426615089727501,0.37627081471572765,0.5375001351423123,SALAMI_26
154,0.39833782250872785,0.34756651778246184,0.4664795245339508,SALAMI_266
155,0.4477402436003341,0.37092901715192933,0.5646712091124352,SALAMI_27
156,0.4214401852376384,0.3870991885593648,0.4624673713793998,SALAMI_274
157,0.49751121877834653,0.42933114583168003,0.5914341051680333,SALAMI_275
158,0.535737172831571,0.4546068861568621,0.6521153086354992,SALAMI_28
159,0.31675899704373983,0.24585110240758315,0.4451475973989958,SALAMI_280
160,0.14497172442269451,0.23126881023987206,0.10557631862218628,SALAMI_282
161,0.37792085521508295,0.31617151632003515,0.4696438457199609,SALAMI_283
162,0.3207830045945327,0.2351275249467936,0.5046088301287563,SALAMI_284
163,0.4210270101420837,0.33636950130573007,0.5626297104416468,SALAMI_291
164,0.485356403277424,0.4041538604944627,0.6073939115353307,SALAMI_294
165,0.435325810120744,0.37334826165551727,0.5219763053406774,SALAMI_298
166,0.384448766308253,0.3227307309375858,0.475354009463902,SALAMI_3
167,0.0,0.0,0.0,SALAMI_302
168,0.3435044422561292,0.2804239428915431,0.4432011775237966,SALAMI_303
169,0.5368685309400463,0.4310185981978499,0.7116316736671423,SALAMI_307
